KEYWORD,MATCHING SENTENCE,PAGE URL
note,Release notes,https://www.tornadoweb.org/en/stable/guide/intro.html
note,Release notes,https://www.tornadoweb.org/en/stable/guide/async.html
only,"This means that all application code
should aim to be asynchronous and non-blocking because only one
operation can be active at a time.",https://www.tornadoweb.org/en/stable/guide/async.html
should,"This means that all application code
should aim to be asynchronous and non-blocking because only one
operation can be active at a time.",https://www.tornadoweb.org/en/stable/guide/async.html
must,"In fact, every function blocks, at least a
little bit, while it is running and using the CPU (for an extreme
example that demonstrates why CPU blocking must be taken as seriously
as other kinds of blocking, consider password hashing functions like
bcrypt, which by design use
hundreds of milliseconds of CPU time, far more than a typical network
or disk access).",https://www.tornadoweb.org/en/stable/guide/async.html
note,Release notes,https://www.tornadoweb.org/en/stable/guide/coroutines.html
only,"Only use
decorated coroutines when compatibility with older versions of Python
is required.",https://www.tornadoweb.org/en/stable/guide/coroutines.html
note,"Note that for both kinds of
coroutines it is important to use await or yield so that
any exceptions have somewhere to go.",https://www.tornadoweb.org/en/stable/guide/coroutines.html
note,"Note that for both kinds of
coroutines it is important to use await or yield so that
any exceptions have somewhere to go.",https://www.tornadoweb.org/en/stable/guide/coroutines.html
note,"Note that for both kinds of
coroutines it is important to use await or yield so that
any exceptions have somewhere to go.",https://www.tornadoweb.org/en/stable/guide/coroutines.html
must,"In nearly all cases, any function that calls a coroutine must be a
coroutine itself, and use the await or yield keyword in the
call.",https://www.tornadoweb.org/en/stable/guide/coroutines.html
note,Release notes,https://www.tornadoweb.org/en/stable/guide/queues.html
only,"In the web-spider example here, the queue begins containing only base_url.",https://www.tornadoweb.org/en/stable/guide/queues.html
note,Release notes,https://www.tornadoweb.org/en/stable/guide/structure.html
warning,"However, this pattern produces deprecation
warnings starting in Python 3.",https://www.tornadoweb.org/en/stable/guide/structure.html
should,"When the main function returns, the program exits, so most of the time for a
web server main should run forever.",https://www.tornadoweb.org/en/stable/guide/structure.html
only,"The files
object is only present if the files were uploaded with a form wrapper
(i.",https://www.tornadoweb.org/en/stable/guide/structure.html
should,"initialize
should typically just save the arguments passed into member
variables; it may not produce any output or call methods like
send_error.",https://www.tornadoweb.org/en/stable/guide/structure.html
should,"initialize
should typically just save the arguments passed into member
variables; it may not produce any output or call methods like
send_error.",https://www.tornadoweb.org/en/stable/guide/structure.html
note,"All methods designed to be overridden are noted as such in the
RequestHandler documentation.",https://www.tornadoweb.org/en/stable/guide/structure.html
note,"Note that there is no guarantee that a closed
connection can be detected promptly.",https://www.tornadoweb.org/en/stable/guide/structure.html
note,"Note that there is no guarantee that a closed
connection can be detected promptly.",https://www.tornadoweb.org/en/stable/guide/structure.html
note,"If the error was caused by an exception, an exc_info triple will
be passed as a keyword argument (note that this exception is not
guaranteed to be the current exception in sys.",https://www.tornadoweb.org/en/stable/guide/structure.html
must,"exc_info, so
write_error must use e.",https://www.tornadoweb.org/en/stable/guide/structure.html
should,"This handler should override
prepare instead of a more specific method like
get() so it works with any HTTP method.",https://www.tornadoweb.org/en/stable/guide/structure.html
should,"It should produce its
error page as described above: either by raising a HTTPError(404)
and overriding write_error, or calling self.",https://www.tornadoweb.org/en/stable/guide/structure.html
note,Release notes,https://www.tornadoweb.org/en/stable/guide/templates.html
note,"(Note that this list applies to templates
rendered using RequestHandler.",https://www.tornadoweb.org/en/stable/guide/templates.html
note,"Note that while Tornado’s automatic escaping is helpful in avoiding
XSS vulnerabilities, it is not sufficient in all cases.",https://www.tornadoweb.org/en/stable/guide/templates.html
